auth_user_id,exam_name,user_exam_starts_at,actual_mark_percentage,previous_actual_mark_percentage,performance_trend
623a3243fb492fa5df0c6751,Monthly Exam 1 (MCQ),2025-02-01 12:57:23.194000 UTC,65.0,50.0,Improved
623a3243fb492fa5df0c6751,Class 10 - Weekly MCQ Exam - February 2,2025-02-15 13:00:14.753000 UTC,51.67,65.0,Declined
623a3243fb492fa5df0c6751,Class 10 - Weekly MCQ Exam - February 3,2025-02-23 06:46:22.187000 UTC,43.0,51.67,Declined
623a3243fb492fa5df0c6751,Class 10 - Weekly MCQ Exam - March 1,2025-03-09 05:44:13.218000 UTC,72.0,43.0,Improved
623a3243fb492fa5df0c6751,Class 10 - Weekly MCQ Exam - March 2,2025-03-23 06:21:35.870000 UTC,51.0,72.0,Declined
623a3243fb492fa5df0c6751,Class 10 - Weekly MCQ Exam - April 1,2025-04-12 13:20:40.900000 UTC,55.0,51.0,Improved
623a3243fb492fa5df0c6751,Class 10 - Weekly MCQ Exam - April Week 2,2025-04-20 06:19:49.100000 UTC,23.33,55.0,Declined
623a3243fb492fa5df0c6751,Class 10 - Weekly MCQ Exam - April Week 3,2025-04-27 06:30:06.333000 UTC,75.0,23.33,Improved
623a3313fb492fa5df0cb1a2,সাপ্তাহিক পরীক্ষা - ১,2025-01-26 15:13:24.286000 UTC,0.0,,
623a3313fb492fa5df0cb1a2,সাপ্তাহিক পরীক্ষা - ১,2025-01-26 15:42:48.831000 UTC,0.0,0.0,Same
623a3313fb492fa5df0cb1a2,সাপ্তাহিক পরীক্ষা - ১,2025-01-27 04:46:01.504000 UTC,26.25,0.0,Improved
623a3313fb492fa5df0cb1a2,সাপ্তাহিক পরীক্ষা - ১,2025-01-30 07:07:39.309000 UTC,8.75,26.25,Declined
623a3313fb492fa5df0cb1a2,Monthly Exam 1 (MCQ),2025-02-01 15:20:44.910000 UTC,49.17,8.75,Improved
623a3313fb492fa5df0cb1a2,Class 10 - Weekly MCQ Exam - February 1,2025-02-09 06:09:16.046000 UTC,31.0,49.17,Declined
623a3313fb492fa5df0cb1a2,Class 10 - Monthly MCQ Exam - February,2025-03-02 05:45:54.577000 UTC,0.0,31.0,Declined
623a3313fb492fa5df0cb1a2,Class 10 - Weekly MCQ Exam - April 1,2025-04-12 13:00:53.605000 UTC,8.33,0.0,Improved
623a338ffb492fa5df0cde2b,সাপ্তাহিক পরীক্ষা - ১,2025-01-25 12:30:43.828000 UTC,0.0,,
623a338ffb492fa5df0cde2b,সাপ্তাহিক পরীক্ষা - ১,2025-01-28 13:06:33.916000 UTC,25.0,0.0,Improved
623a338ffb492fa5df0cde2b,Monthly Exam 1 (MCQ),2025-02-01 13:30:30.062000 UTC,0.0,25.0,Declined
623a338ffb492fa5df0cde2b,Class 10 - Weekly MCQ Exam - February 1,2025-02-08 16:17:32.143000 UTC,0.0,0.0,Same
623a338ffb492fa5df0cde2b,Class 10 - Weekly MCQ Exam - February 2,2025-02-15 17:05:16.151000 UTC,0.0,0.0,Same
623a338ffb492fa5df0cde2b,Class 10 - Monthly MCQ Exam - March,2025-03-22 15:27:30.683000 UTC,83.33,0.0,Improved
623a338ffb492fa5df0cde2b,Class 10 - Weekly MCQ Exam - April 1,2025-04-12 15:09:08.469000 UTC,83.33,83.33,Same
623a338ffb492fa5df0cde2b,Class 10 - Weekly MCQ Exam - April Week 3,2025-04-26 12:56:36.092000 UTC,83.33,83.33,Same
623a338ffb492fa5df0cde2b,Class 10 - Weekly MCQ Exam - February 3,2025-04-26 13:08:58.464000 UTC,46.0,83.33,Declined
623a338ffb492fa5df0cde2b,Class 10 - Weekly MCQ Exam - April Week 2,2025-04-26 13:43:13.732000 UTC,0.0,46.0,Declined
623a338ffb492fa5df0cde2b,Class 10 - Weekly MCQ Exam - April Week 2,2025-04-26 13:47:50.951000 UTC,0.0,0.0,Same
623a343ffb492fa5df0d1d44,সাপ্তাহিক পরীক্ষা - ১,2025-01-28 15:36:41.324000 UTC,31.25,,
623a343ffb492fa5df0d1d44,Monthly Exam 1 (MCQ),2025-02-01 13:11:34.815000 UTC,54.17,31.25,Improved
623a343ffb492fa5df0d1d44,Class 10 - Weekly MCQ Exam - February 1,2025-02-09 14:18:42.651000 UTC,46.0,54.17,Declined
623a343ffb492fa5df0d1d44,Class 10 - Weekly MCQ Exam - February 2,2025-02-16 09:13:43.236000 UTC,0.0,46.0,Declined
623a343ffb492fa5df0d1d44,Class 10 - Monthly MCQ Exam - February,2025-03-02 08:28:37.743000 UTC,27.5,0.0,Improved
623a3486fb492fa5df0d370d,Class 10 - Weekly MCQ Exam - February 1,2025-02-08 15:05:11.400000 UTC,45.0,,
623a3486fb492fa5df0d370d,Class 10 - Weekly MCQ Exam - February 2,2025-02-15 14:51:39.854000 UTC,4.17,45.0,Declined
623a3486fb492fa5df0d370d,Class 10 - Weekly MCQ Exam - February 3,2025-02-22 12:59:17.831000 UTC,20.0,4.17,Improved
623a3486fb492fa5df0d370d,সাপ্তাহিক পরীক্ষা - ১,2025-02-27 15:06:40.193000 UTC,0.0,20.0,Declined
623a3486fb492fa5df0d370d,Class 10 - Monthly MCQ Exam - February,2025-03-01 12:43:05.867000 UTC,33.33,0.0,Improved
623a3486fb492fa5df0d370d,Class 10 - Weekly MCQ Exam - March 1,2025-03-08 13:17:18.876000 UTC,45.0,33.33,Improved
623a3486fb492fa5df0d370d,Class 10 - Monthly MCQ Exam - March,2025-03-22 12:40:18.517000 UTC,0.0,45.0,Declined
623a3486fb492fa5df0d370d,Class 10 - Monthly MCQ Exam - February,2025-04-05 12:49:52.833000 UTC,0.0,0.0,Same
623a3486fb492fa5df0d370d,Class 10 - Weekly MCQ Exam - April 1,2025-04-12 12:52:12.675000 UTC,45.83,0.0,Improved
623a3486fb492fa5df0d370d,Class 10 - Weekly MCQ Exam - April Week 2,2025-04-19 12:40:42.201000 UTC,25.0,45.83,Declined
623a3486fb492fa5df0d370d,Class 10 - Weekly MCQ Exam - April Week 3,2025-04-26 13:03:18.546000 UTC,66.67,25.0,Improved
623a35c5fb492fa5df0da820,সাপ্তাহিক পরীক্ষা - ১,2025-01-26 10:30:53.501000 UTC,50.0,,
623a35c5fb492fa5df0da820,Monthly Exam 1 (MCQ),2025-02-02 05:54:28.143000 UTC,33.33,50.0,Declined
623a35c5fb492fa5df0da820,Class 10 - Weekly MCQ Exam - April Week 2,2025-04-20 12:21:58.747000 UTC,25.0,33.33,Declined
623a35c5fb492fa5df0da820,Class 10 - Weekly MCQ Exam - April Week 2,2025-04-20 12:31:01.192000 UTC,66.67,25.0,Improved
623a360cfb492fa5df0dc049,সাপ্তাহিক পরীক্ষা - ১,2025-01-25 12:35:44.936000 UTC,68.75,,
623a360cfb492fa5df0dc049,Monthly Exam 1 (MCQ),2025-02-01 12:36:26.028000 UTC,54.17,68.75,Declined
623a360cfb492fa5df0dc049,Class 10 - Monthly MCQ Exam - February,2025-03-02 08:00:01.279000 UTC,64.17,54.17,Improved
623a360cfb492fa5df0dc049,Class 10 - Weekly MCQ Exam - March 1,2025-03-08 12:39:14.006000 UTC,50.0,64.17,Declined
623a360cfb492fa5df0dc049,Class 10 - Weekly MCQ Exam - March 2,2025-03-15 12:38:18.731000 UTC,0.0,50.0,Declined
623a360cfb492fa5df0dc049,Class 10 - Monthly MCQ Exam - February,2025-03-16 03:58:06.089000 UTC,20.83,0.0,Improved
623a3724fb492fa5df0e2163,Monthly Exam 1 (MCQ),2025-03-16 14:33:40.569000 UTC,5.83,,
623a3724fb492fa5df0e2163,সাপ্তাহিক পরীক্ষা - ১,2025-04-15 14:43:13.945000 UTC,62.5,5.83,Improved
623a3724fb492fa5df0e2163,সাপ্তাহিক পরীক্ষা - ১,2025-04-15 15:04:56.421000 UTC,0.0,62.5,Declined
623a3724fb492fa5df0e2163,Class 10 - Weekly MCQ Exam - April Week 2,2025-04-19 12:33:05.684000 UTC,50.0,0.0,Improved
623a3724fb492fa5df0e2163,সাপ্তাহিক পরীক্ষা - ১,2025-04-20 05:58:41.406000 UTC,0.0,50.0,Declined
623a3724fb492fa5df0e2163,Class 10 - Weekly MCQ Exam - February 1,2025-04-20 05:59:05.685000 UTC,40.0,0.0,Improved
623a3724fb492fa5df0e2163,Class 10 - Weekly MCQ Exam - February 2,2025-04-20 06:32:18.981000 UTC,26.67,40.0,Declined
623a3724fb492fa5df0e2163,Class 10 - Weekly MCQ Exam - April 1,2025-04-20 09:51:59.255000 UTC,15.83,26.67,Declined
623a3724fb492fa5df0e2163,Class 10 - Weekly MCQ Exam - February 3,2025-04-21 08:55:46.849000 UTC,0.0,15.83,Declined
623a3724fb492fa5df0e2163,Class 10 - Weekly MCQ Exam - February 3,2025-04-21 15:13:02.597000 UTC,12.0,0.0,Improved
623a3724fb492fa5df0e2163,Class 10 - Weekly MCQ Exam - March 1,2025-04-23 17:04:28.438000 UTC,0.0,12.0,Declined
623a3724fb492fa5df0e2163,Class 10 - Weekly MCQ Exam - March 2,2025-04-23 17:12:13.287000 UTC,0.0,0.0,Same
623a3724fb492fa5df0e2163,সাপ্তাহিক পরীক্ষা - ১,2025-04-25 13:23:19.537000 UTC,0.0,0.0,Same
623a3724fb492fa5df0e2163,Class 10 - Weekly MCQ Exam - April Week 3,2025-04-26 12:36:57.507000 UTC,25.0,0.0,Improved
623a3724fb492fa5df0e2163,Class 10 - Weekly MCQ Exam - March 1,2025-04-26 16:35:20.801000 UTC,0.0,25.0,Declined
623a3724fb492fa5df0e2163,Class 10 - Weekly MCQ Exam - March 2,2025-04-27 07:09:38.764000 UTC,0.0,0.0,Same
623a3979fb492fa5df0ee826,Class 10 - Monthly MCQ Exam - February,2025-03-01 12:42:12.949000 UTC,55.0,,
623a3979fb492fa5df0ee826,Class 10 - Weekly MCQ Exam - March 1,2025-03-08 13:00:14.941000 UTC,62.0,55.0,Improved
623a3979fb492fa5df0ee826,Class 10 - Weekly MCQ Exam - March 2,2025-03-15 12:42:47.148000 UTC,44.0,62.0,Declined
623a3979fb492fa5df0ee826,Class 10 - Monthly MCQ Exam - March,2025-03-22 13:23:04.305000 UTC,64.17,44.0,Improved
623a3979fb492fa5df0ee826,Class 10 - Weekly MCQ Exam - April 1,2025-04-12 12:48:54.949000 UTC,0.0,64.17,Declined
623a3979fb492fa5df0ee826,Class 10 - Weekly MCQ Exam - April Week 2,2025-04-19 13:38:44.241000 UTC,55.0,0.0,Improved
623a3979fb492fa5df0ee826,Class 10 - Weekly MCQ Exam - April Week 3,2025-04-26 15:39:24.017000 UTC,70.0,55.0,Improved
623a3989fb492fa5df0eed47,সাপ্তাহিক পরীক্ষা - ১,2025-01-25 12:41:08.355000 UTC,81.25,,
623a3989fb492fa5df0eed47,Monthly Exam 1 (MCQ),2025-02-01 14:14:44.326000 UTC,83.33,81.25,Improved
623a3989fb492fa5df0eed47,Class 10 - Weekly MCQ Exam - February 3,2025-02-22 13:25:41.451000 UTC,75.0,83.33,Declined
623a3a1efb492fa5df0f1d9e,Monthly Exam 1 (MCQ),2025-02-01 12:37:58.722000 UTC,58.33,,
623a3a1efb492fa5df0f1d9e,Monthly Exam 1 (MCQ),2025-02-03 13:29:53.762000 UTC,0.0,58.33,Declined
623a3a1efb492fa5df0f1d9e,Class 10 - Weekly MCQ Exam - February 1,2025-02-08 14:54:40.259000 UTC,75.0,0.0,Improved
623a3a1efb492fa5df0f1d9e,Class 10 - Weekly MCQ Exam - February 2,2025-02-15 12:44:01.356000 UTC,27.5,75.0,Declined
623a3a1efb492fa5df0f1d9e,Class 10 - Monthly MCQ Exam - February,2025-03-01 13:30:34.178000 UTC,58.33,27.5,Improved
623a3a1efb492fa5df0f1d9e,Class 10 - Weekly MCQ Exam - March 2,2025-03-15 12:53:29.161000 UTC,30.0,58.33,Declined
623a3a1efb492fa5df0f1d9e,Class 10 - Monthly MCQ Exam - March,2025-03-22 13:39:11.021000 UTC,25.83,30.0,Declined
623a3a1efb492fa5df0f1d9e,Class 10 - Weekly MCQ Exam - April 1,2025-04-12 12:39:01.328000 UTC,33.33,25.83,Improved
623a3a1efb492fa5df0f1d9e,Class 10 - Weekly MCQ Exam - April Week 2,2025-04-19 12:54:55.599000 UTC,41.67,33.33,Improved
623a3a98fb492fa5df0f44cf,সাপ্তাহিক পরীক্ষা - ১,2025-01-28 10:32:40.784000 UTC,62.5,,
623a3a98fb492fa5df0f44cf,Class 10 - Monthly MCQ Exam - February,2025-03-01 13:06:01.580000 UTC,83.33,62.5,Improved
623a3a98fb492fa5df0f44cf,Class 10 - Monthly MCQ Exam - March,2025-03-22 13:22:54.925000 UTC,70.83,83.33,Declined
623a3b20fb492fa5df0f7063,সাপ্তাহিক পরীক্ষা - ১,2025-01-25 12:54:02.893000 UTC,81.25,,
623a3b3afb492fa5df0f7885,সাপ্তাহিক পরীক্ষা - ১,2025-01-26 11:07:00.650000 UTC,46.25,,
623a3b3afb492fa5df0f7885,Monthly Exam 1 (MCQ),2025-02-02 12:25:58.824000 UTC,16.67,46.25,Declined
623a3b3afb492fa5df0f7885,Class 10 - Weekly MCQ Exam - February 1,2025-02-08 19:01:19.419000 UTC,70.0,16.67,Improved
623a3b3afb492fa5df0f7885,Class 10 - Weekly MCQ Exam - February 3,2025-02-22 19:08:03.972000 UTC,50.0,70.0,Declined
623a3b3afb492fa5df0f7885,Class 10 - Monthly MCQ Exam - February,2025-03-02 10:31:53.241000 UTC,66.67,50.0,Improved
623a3b3afb492fa5df0f7885,Class 10 - Weekly MCQ Exam - March 2,2025-03-16 13:26:05.769000 UTC,9.0,66.67,Declined
623a3b3afb492fa5df0f7885,Class 10 - Monthly MCQ Exam - March,2025-03-23 10:28:43.801000 UTC,79.17,9.0,Improved
623a3b3afb492fa5df0f7885,Class 10 - Weekly MCQ Exam - April 1,2025-04-13 08:27:54.655000 UTC,79.17,79.17,Same
623a3c81fb492fa5df0fe0dd,Class 10 - Weekly MCQ Exam - February 2,2025-02-15 12:39:51.282000 UTC,58.33,,
623a3c81fb492fa5df0fe0dd,Class 10 - Weekly MCQ Exam - February 3,2025-02-22 13:46:18.165000 UTC,55.0,58.33,Declined
623a3c81fb492fa5df0fe0dd,Class 10 - Monthly MCQ Exam - February,2025-03-01 12:40:54.962000 UTC,87.5,55.0,Improved
623a3c81fb492fa5df0fe0dd,Class 10 - Weekly MCQ Exam - March 1,2025-03-09 01:40:32.047000 UTC,75.0,87.5,Declined
623a3c81fb492fa5df0fe0dd,Class 10 - Weekly MCQ Exam - March 2,2025-03-16 06:24:13.075000 UTC,45.0,75.0,Declined
623a3c81fb492fa5df0fe0dd,Class 10 - Monthly MCQ Exam - March,2025-03-22 12:41:39.353000 UTC,91.67,45.0,Improved
623a3c81fb492fa5df0fe0dd,Class 10 - Weekly MCQ Exam - April 1,2025-04-12 13:02:11.782000 UTC,58.33,91.67,Declined
623a3c81fb492fa5df0fe0dd,Class 10 - Weekly MCQ Exam - April Week 2,2025-04-19 13:09:47.571000 UTC,91.67,58.33,Improved
623a3c81fb492fa5df0fe0dd,Class 10 - Weekly MCQ Exam - April Week 3,2025-04-26 12:57:45.877000 UTC,100.0,91.67,Improved
623a3c91fb492fa5df0fe5fc,সাপ্তাহিক পরীক্ষা - ১,2025-01-25 13:08:05.502000 UTC,81.25,,
623a3c91fb492fa5df0fe5fc,Monthly Exam 1 (MCQ),2025-02-02 10:11:33.558000 UTC,92.5,81.25,Improved
623a3c91fb492fa5df0fe5fc,Class 10 - Weekly MCQ Exam - February 1,2025-02-08 14:35:13.804000 UTC,65.0,92.5,Declined
623a3c91fb492fa5df0fe5fc,Class 10 - Weekly MCQ Exam - February 2,2025-02-17 06:32:15.412000 UTC,76.67,65.0,Improved
623a3c91fb492fa5df0fe5fc,Class 10 - Weekly MCQ Exam - February 3,2025-02-23 14:13:54.559000 UTC,55.0,76.67,Declined
623a3c91fb492fa5df0fe5fc,Class 10 - Monthly MCQ Exam - February,2025-03-01 12:47:16.708000 UTC,100.0,55.0,Improved
623a3c91fb492fa5df0fe5fc,Class 10 - Weekly MCQ Exam - March 1,2025-03-08 13:46:05.419000 UTC,86.0,100.0,Declined
623a3c91fb492fa5df0fe5fc,Class 10 - Weekly MCQ Exam - March 2,2025-03-15 12:49:00.178000 UTC,100.0,86.0,Improved
623a3c91fb492fa5df0fe5fc,Class 10 - Monthly MCQ Exam - March,2025-03-23 05:27:25.193000 UTC,95.83,100.0,Declined
623a3c91fb492fa5df0fe5fc,Class 10 - Weekly MCQ Exam - April Week 2,2025-04-19 13:57:43.139000 UTC,70.0,95.83,Declined
623a3c91fb492fa5df0fe5fc,Class 10 - Weekly MCQ Exam - April Week 3,2025-04-26 13:08:02.373000 UTC,68.33,70.0,Declined
623a3c92fb492fa5df0fe640,সাপ্তাহিক পরীক্ষা - ১,2025-01-26 12:22:23.477000 UTC,57.5,,
623a3c92fb492fa5df0fe640,Monthly Exam 1 (MCQ),2025-02-01 14:29:25.292000 UTC,35.0,57.5,Declined
623a3c92fb492fa5df0fe640,Class 10 - Weekly MCQ Exam - February 1,2025-02-08 19:51:25.346000 UTC,69.0,35.0,Improved
623a3f1bfb492fa5df10b0de,সাপ্তাহিক পরীক্ষা - ১,2025-01-25 12:47:34.964000 UTC,31.25,,
623a3f1bfb492fa5df10b0de,Monthly Exam 1 (MCQ),2025-02-01 13:01:09.616000 UTC,54.17,31.25,Improved
623a3f1bfb492fa5df10b0de,Monthly Exam 1 (MCQ),2025-02-12 14:17:54.474000 UTC,34.17,54.17,Declined
623a3f1bfb492fa5df10b0de,Class 10 - Weekly MCQ Exam - March 1,2025-03-08 14:40:54.658000 UTC,30.0,34.17,Declined
623a3f1bfb492fa5df10b0de,Class 10 - Monthly MCQ Exam - March,2025-03-22 15:11:42.231000 UTC,42.5,30.0,Improved
623a3f1bfb492fa5df10b0de,Class 10 - Monthly MCQ Exam - March,2025-04-11 08:54:38.809000 UTC,17.5,42.5,Declined
623a3fc4fb492fa5df10e509,Class 10 - Weekly MCQ Exam - February 1,2025-02-09 13:22:49.410000 UTC,43.0,,
623a4076fb492fa5df111aae,সাপ্তাহিক পরীক্ষা - ১,2025-01-25 16:04:27.906000 UTC,62.5,,
623a4076fb492fa5df111aae,Class 10 - Weekly MCQ Exam - February 2,2025-02-15 13:57:50.403000 UTC,54.17,62.5,Declined
623a4076fb492fa5df111aae,Class 10 - Monthly MCQ Exam - February,2025-03-01 14:06:16.074000 UTC,75.0,54.17,Improved
623a4076fb492fa5df111aae,Monthly Exam 1 (MCQ),2025-03-04 08:45:57.724000 UTC,0.0,75.0,Declined
623a4076fb492fa5df111aae,Class 10 - Weekly MCQ Exam - March 1,2025-03-09 10:11:08.463000 UTC,56.0,0.0,Improved
623a4076fb492fa5df111aae,Class 10 - Weekly MCQ Exam - March 2,2025-03-16 08:53:34.998000 UTC,55.0,56.0,Declined
623a4076fb492fa5df111aae,Class 10 - Monthly MCQ Exam - March,2025-03-23 07:02:25.104000 UTC,75.0,55.0,Improved
623a4076fb492fa5df111aae,Class 10 - Weekly MCQ Exam - April 1,2025-04-13 11:42:54.724000 UTC,75.0,75.0,Same
623a4076fb492fa5df111aae,Class 10 - Weekly MCQ Exam - April Week 2,2025-04-19 12:57:22.452000 UTC,76.67,75.0,Improved
623a4076fb492fa5df111aae,Class 10 - Weekly MCQ Exam - April Week 3,2025-04-26 12:50:07.684000 UTC,0.0,76.67,Declined
623a41cffb492fa5df1181bd,সাপ্তাহিক পরীক্ষা - ১,2025-01-26 13:56:27.424000 UTC,38.75,,
623a41cffb492fa5df1181bd,সাপ্তাহিক পরীক্ষা - ১,2025-01-26 14:02:45.120000 UTC,47.5,38.75,Improved
623a41cffb492fa5df1181bd,সাপ্তাহিক পরীক্ষা - ১,2025-01-27 07:47:44.616000 UTC,31.25,47.5,Declined
623a41cffb492fa5df1181bd,সাপ্তাহিক পরীক্ষা - ১,2025-01-27 07:55:15.924000 UTC,81.25,31.25,Improved
623a41cffb492fa5df1181bd,সাপ্তাহিক পরীক্ষা - ১,2025-01-27 08:05:50.703000 UTC,0.0,81.25,Declined
623a41cffb492fa5df1181bd,Monthly Exam 1 (MCQ),2025-02-01 12:36:52.781000 UTC,29.17,0.0,Improved
623a41cffb492fa5df1181bd,Class 10 - Weekly MCQ Exam - February 1,2025-02-09 01:58:22.358000 UTC,85.0,29.17,Improved
623a41cffb492fa5df1181bd,Class 10 - Weekly MCQ Exam - February 2,2025-02-15 12:40:42.690000 UTC,41.67,85.0,Declined
623a41cffb492fa5df1181bd,Class 10 - Weekly MCQ Exam - February 3,2025-02-23 09:29:11.980000 UTC,5.0,41.67,Declined
623a41cffb492fa5df1181bd,Class 10 - Monthly MCQ Exam - February,2025-03-01 13:38:26.839000 UTC,45.83,5.0,Improved
623a41cffb492fa5df1181bd,Class 10 - Weekly MCQ Exam - April 1,2025-04-13 06:29:36.740000 UTC,75.0,45.83,Improved
623a41cffb492fa5df1181bd,Class 10 - Weekly MCQ Exam - April Week 2,2025-04-20 06:03:11.937000 UTC,91.67,75.0,Improved
623a41f5fb492fa5df118d02,সাপ্তাহিক পরীক্ষা - ১,2025-01-25 12:35:38.215000 UTC,100.0,,
623a41f5fb492fa5df118d02,Class 10 - Weekly MCQ Exam - February 1,2025-02-08 17:29:24.755000 UTC,90.0,100.0,Declined
623a42b2fb492fa5df11c4b7,সাপ্তাহিক পরীক্ষা - ১,2025-01-25 12:35:36.851000 UTC,66.25,,
623a42b2fb492fa5df11c4b7,Monthly Exam 1 (MCQ),2025-02-07 07:27:27.025000 UTC,38.33,66.25,Declined
623a42b2fb492fa5df11c4b7,Monthly Exam 1 (MCQ),2025-02-07 08:20:49.550000 UTC,0.0,38.33,Declined
623a42b2fb492fa5df11c4b7,Class 10 - Weekly MCQ Exam - February 1,2025-02-13 10:45:17.779000 UTC,2.0,0.0,Improved
623a42b2fb492fa5df11c4b7,Monthly Exam 1 (MCQ),2025-02-14 05:59:26.299000 UTC,0.0,2.0,Declined
623a42b2fb492fa5df11c4b7,Monthly Exam 1 (MCQ),2025-02-14 12:14:11.955000 UTC,0.0,0.0,Same
623a42b2fb492fa5df11c4b7,Monthly Exam 1 (MCQ),2025-02-15 00:59:49.597000 UTC,50.0,0.0,Improved
623a42b2fb492fa5df11c4b7,Class 10 - Weekly MCQ Exam - February 1,2025-02-15 01:09:36.352000 UTC,35.0,50.0,Declined
623a42b2fb492fa5df11c4b7,Class 10 - Weekly MCQ Exam - February 1,2025-02-15 01:21:13.054000 UTC,16.0,35.0,Declined
623a42b2fb492fa5df11c4b7,Class 10 - Monthly MCQ Exam - February,2025-03-02 11:41:49.574000 UTC,20.83,16.0,Improved
623a42b2fb492fa5df11c4b7,সাপ্তাহিক পরীক্ষা - ১,2025-03-03 11:21:30.407000 UTC,56.25,20.83,Improved
623a42b2fb492fa5df11c4b7,Class 10 - Weekly MCQ Exam - February 3,2025-03-05 07:18:46.246000 UTC,0.0,56.25,Declined
623a42b2fb492fa5df11c4b7,Class 10 - Weekly MCQ Exam - February 2,2025-03-05 07:19:39.236000 UTC,0.0,0.0,Same
623a42b2fb492fa5df11c4b7,Class 10 - Monthly MCQ Exam - March,2025-03-23 07:36:41.092000 UTC,2.5,0.0,Improved
623a42b2fb492fa5df11c4b7,সাপ্তাহিক পরীক্ষা - ১,2025-03-23 07:56:44.264000 UTC,75.0,2.5,Improved
623a42b2fb492fa5df11c4b7,সাপ্তাহিক পরীক্ষা - ১,2025-03-23 08:06:03.912000 UTC,87.5,75.0,Improved
623a42b2fb492fa5df11c4b7,সাপ্তাহিক পরীক্ষা - ১,2025-03-23 08:18:30.694000 UTC,81.25,87.5,Declined
623a42b2fb492fa5df11c4b7,Class 10 - Weekly MCQ Exam - February 1,2025-03-23 08:22:13.583000 UTC,4.0,81.25,Declined
623a42b2fb492fa5df11c4b7,Class 10 - Weekly MCQ Exam - February 2,2025-03-23 08:23:11.367000 UTC,5.0,4.0,Improved
623a42b2fb492fa5df11c4b7,Class 10 - Weekly MCQ Exam - February 3,2025-03-23 08:26:11.001000 UTC,5.0,5.0,Same
